f_location,latitude,longitude,location
"Apotheek Kassar,Prinses Elisabethlaan (Bij het station Schaarbeek) 121,Schaarbeek,Belgium",50.8755084,4.3781233,"Av. Princesse Elisabeth 121, 1030 Schaerbeek, Belgium"
"Apotheek Khayar,Gallaitstraat  101,Schaarbeek,Belgium",50.8676912,4.3699129,"Rue Gallait 101, 1030 Schaerbeek, Belgium"
"Apotheek Klein Zwitserland,Boondaalse Steenweg (Klein Zwitserlandplein) 312,Elsene,Belgium",50.8187585,4.3841572,"Chau. de Boondael 312, 1050 Bruxelles, Belgium"
"Apotheek Koningslaan,Koningslaan  112,Vorst,Belgium",50.8280191,4.3343984,"Av. du Roi 112, 1060 Forest, Belgium"
"Apotheek Kruidtuin,Kruidtuinlaan  36,Brussel,Belgium",50.8541936,4.3610729,"Bd du Jardin Botanique 36, 1000 Bruxelles, Belgium"
"Apotheek l¡¯Olivier,Albert 1 Square (stweg Op Bergen) 3,Anderlecht,Belgium",50.8349271,4.3069041,"1070 Anderlecht, Belgium"
"Apotheek La Cour,Naamsestraat  76,Brussel,Belgium",50.839403,4.361295,"76, Rue de Namur, 1000 Bruxelles, Belgium"
"Apotheek La Pharmacie,Josse Goffinlaan  151,Sint-Agatha-Berchem,Belgium",50.86654,4.3046531,"Av. Josse Goffin 151, 1082 Berchem-Sainte-Agathe, Belgium"
"Apotheek Laaroussi,Bosniestraat (hoek Parklaan) 104,Sint-Gillis,Belgium",50.8258325,4.3393899,"Rue de Bosnie 104, 1060 Saint-Gilles, Belgium"
"Apotheek Lambrechts,Zwarte Vijversstraat hoek Gentsesteenweg 1A,Sint-Jans-Molenbeek,Belgium",50.8569867,4.3315897,"Rue des Etangs Noirs 1a, 1080 Molenbeek-Saint-Jean, Belgium"
"Apotheek Laperche,Languedoc Wandelwegen (Leop.III  Gemeentehuis) 1,Evere,Belgium",50.8717986,4.4052276,"All. du Languedoc 1, 1140 Evere, Belgium"
"Apotheek Latinis,G Latinislaan  59,Schaarbeek,Belgium",50.8669491,4.3878583,"Av. Gustave Latinis 59, 1030 Bruxelles, Belgium"
"Apotheek Le chien vert,Charles Thielemanslaan  43,Sint-Pieters-Woluwe,Belgium",50.8371441,4.4297277,"Av. Charles Thielemans 43, 1150 Woluwe-Saint-Pierre, Belgium"
"Apotheek Lebout,Egide Van Ophemstraat  172,Ukkel,Belgium",50.7949152,4.3248446,"Rue Egide Van Ophem 172, 1180 Uccle, Belgium"
"Apotheek Lefebure,Nijvelsedreef hoek Bemelstraat 2,Sint-Pieters-Woluwe,Belgium",50.830577,4.415686,"Dr¨¨ve de Nivelles 2, 1150 Woluwe-Saint-Pierre, Belgium"
"Apotheek Leopoldwijk,Luxemburgstraat  21,Brussel,Belgium",50.8400227,4.3679793,"Rue du Luxembourg 21, 1000 Bruxelles, Belgium"
"Apotheek Letellier,Verdunstraat  370,Haren,Belgium",50.8913541,4.4175848,"Rue de Verdun 370, 1130 Bruxelles, Belgium"
"Apotheek Leviesquare,kersenboomlaan  81,Schaarbeek,Belgium",50.8478954,4.4084304,"Square Levie, 1200 Schaerbeek, Belgium"
