f_location,latitude,longitude,location
"4 Strand Street, Kanturk, Cork, K34 AP89,Ireland",52.17725489999999,-8.9051669,"Kanturk, Co. Cork, Ireland"
"Unit 3 The Cornfields, Curraheen Road, Bishopstown, Cork, T12 Y9KT,Ireland",51.8796448,-8.519852199999999,"T12 FW32, Curraheen Rd, Bishopstown, Cork, Ireland"
"1 Garnish Court, Glengarriff, Cork, P75 V799,Ireland",51.7503121,-9.5502272,"Garnish Court, The Village, Glengarriff, Co. Cork, Ireland"
"4 College Shopping Centre, Ballyvolane, Cork, T23 H306,Ireland",51.9192742,-8.4592489,"Cork, Co. Cork, T23 H306, Ireland"
"74 Bridge St, Skibbereen, Cork, P81 DW42,Ireland",51.5490524,-9.2676201,"Bridge House, 74 Bridge St, Coronea, Skibbereen, Co. Cork, P81 DW42, Ireland"
"North Square, Macroom, Cork, P12 NH58,Ireland",51.9048039,-8.9588478,"Sleveen East, Macroom, Co. Cork, Ireland"
"5C Baker's Road, Gurranabraher, Cork, T23 YHE3,Ireland",51.90235029999999,-8.4944579,"5 Baker's Rd, Gurranabraher, Cork, T23 YHE3, Ireland"
"Unit 16, Ballincollig Shopping Centre, Ballincollig, Cork, P31 X466,Ireland",51.8887744,-8.5918785,"Ballincollig Shopping Centre, Ballincollig, Co. Cork, P31 F652, Ireland"
"66 Tory Top Road, Ballyphehane, Cork, T12 X28H,Ireland",51.8841274,-8.475050999999999,"66 Tory Top Rd, Ballyphehane, Cork, T12 AP5K, Ireland"
"11a Gurranebraher Road, Gurranabraher, Cork, T23 D403,Ireland",51.9035243,-8.4886258,"11A Gurranebraher Rd, Gurranabraher, Cork, T23 D403, Ireland"
"Youghal Road, Mayfield, Cork City, Cork, T23 N236,Ireland",51.9122973,-8.4400321,"Mayfield, Cork, Co. Cork, T23 N236, Ireland"
"Cloghroe, Blarney, Cork, T23WDK1,Ireland",51.9178279,-8.6165928,"Cloghroe, Blarney, Co. Cork, T23 AH2R, Ireland"
"Templehill, Lower Ballinough Road, Ballinough, Cork, T12 YRR2,Ireland",51.8902775,-8.434714999999999,"Samara, 1 Boreenmanna Rd, Corvalley Ct, Ballintemple, Cork, T12 F8CP, Ireland"
"Unit 3-4 Parkwest Shopping Centre, Mallow, Cork, P51 CD56,Ireland",52.1365798,-8.6436096,"Mallow Shopping Centre, Main St, Mallow, Co. Cork, Ireland"
"The Village Centre, Togher, Cork, T12 X0PP,Ireland",51.8855673,-8.4989892,"The Village, Glasheen Rd, Togher, Cork, Ireland"
"Main Street, Charleville, Cork, P56 C434,Ireland",52.3546146,-8.6828991,"Main St, Rathgoggan Middle, Charleville, Co. Cork, Ireland"
"40 Main Street, Mallow, Cork, P51 D398,Ireland",52.13718429999999,-8.6447252,"40 Main St, Mallow, Co. Cork, Ireland"
"Unit 6/7, Supervalu Shopping Centre, Ballincollig, Cork, P31 K721,Ireland",51.8887744,-8.5918785,"Ballincollig Shopping Centre, Ballincollig, Co. Cork, P31 F652, Ireland"
"88 Main Street, Charleville, Cork, P56 Y954,Ireland",52.3535068,-8.6819902,"88 Main St, Rathgoggan Middle, Charleville, Co. Cork, P56 X853, Ireland"
"Unit 9 Hollyhill Shopping Centre, Cork City, Cork, T23 AW83,Ireland",51.901768,-8.5031161,"9 Hollyhill Ln, Blarney St, Gurranabraher, Cork, T23 W6F5, Ireland"
"Supervalu the Glenn, Kinsale, Cork, P17 RY11,Ireland",51.70832499999999,-8.5211806,"Kinsale Quarter, New Rd, Town-Plots, Kinsale, Co. Cork, P17 RY11, Ireland"
"Unit 2 The Lough Shopping Centre, The Lough, Cork, Cork, T12 D594,Ireland",51.8837643,-8.4887549,"Togher, Cork, Co. Cork, T12 D594, Ireland"
"North Main Street, Youghal, Cork, P36 KN50,Ireland",51.9549482,-7.8492205,"N Main St, Youghal-Lands, Youghal, Co. Cork, Ireland"
"8 Grand Parade, Cork City, Cork, T12 DP78,Ireland",51.8984416,-8.4753597,"8 Grand Parade, Centre, Cork, T12 DP78, Ireland"
"43 McCurtain Street, Fermoy, Cork, P61 TE83,Ireland",52.1376244,-8.2777812,"43 McCurtain St, Fermoy, Co. Cork, P61 TE83, Ireland"
"New Street, Newmarket, Cork, P51 D660,Ireland",52.2148401,-8.9993093,"Newmarket, Co. Cork, P51 D660, Ireland"
"97 North Main Street, Youghal, Cork, P36 YT62,Ireland",51.95324960000001,-7.847328600000001,"97 N Main St, Youghal-Lands, Youghal, Co. Cork, P36 YT62, Ireland"
"98 Main Street, Carrigaline, Cork, P43 X395,Ireland",51.8123672,-8.3929137,"98 Main St, Kilmoney, Carrigaline, Co. Cork, P43 Y302, Ireland"
"The Medical Hall, Main Street, Macroom, Cork, P12 RW08,Ireland",51.904905,-8.9593317,"Sleveen East, Co. Cork, P12 RW08, Ireland"
"35 Main Street, Charleville, Cork, P56 CD98,Ireland",52.3543397,-8.682914700000001,"35 Main St, Rathgoggan Middle, Charleville, Co. Cork, P56 CD98, Ireland"
"Blackpool Shopping Centre, Blackpool, Cork, T23 CC60,Ireland",51.91384859999999,-8.4723455,"Blackpool, Cork, Co. Cork, T23 CC60, Ireland"
"61-63 McCurtain, Fermoy, Cork, P61 P110,Ireland",52.1375757,-8.278342199999999,"61 McCurtain St, Fermoy, Co. Cork, Ireland"
"24 Patrick Street, Rath-Healy, Fermoy, Cork, P61 CF29,Ireland",52.1379341,-8.274213399999999,"24 Patrick St, Fermoy, Co. Cork, P61 CF29, Ireland"
"Mill Road, Fermoy, Cork,Ireland",52.1390888,-8.2717146,"Mill Rd, Fermoy, Co. Cork, Ireland"
