f_location,latitude,longitude,location
"Shop 14, 325 Manningham Road, TEMPLESTOWE LOWER, VIC 3107,Australia",-37.773124,145.114238,"Shop 14/325 Manningham Rd, Templestowe Lower VIC 3107, Australia"
"736-738 Glenferrie Road, HAWTHORN, VIC 3122,Australia",-37.8192412,145.0361939,"736-738 Glenferrie Rd, Hawthorn VIC 3122, Australia"
"247A Belmore Road, BALWYN NORTH, VIC 3104,Australia",-37.8032678,145.0829143,"247A Belmore Rd, Balwyn North VIC 3104, Australia"
"Shop 6 Ground Floor, 181 Chapel Street, PRAHRAN, VIC 3181,Australia",-37.8515152,144.9930913,"181 Chapel St, Prahran VIC 3181, Australia"
"61 Brighton Road, ELWOOD, VIC 3184,Australia",-37.872182,144.9891789,"61 Brighton Rd, Elwood VIC 3184, Australia"
"17 Wilks Street, CAULFIELD NORTH, VIC 3161,Australia",-37.8636049,145.0141381,"17 Wilks St, Caulfield North VIC 3161, Australia"
"138 GLENFERRIE ROAD, MALVERN, VIC 3144,Australia",-37.8611169,145.0288619,"138 Glenferrie Rd, Malvern VIC 3144, Australia"
"150 Arnold Street, NORTH BENDIGO, VIC 3550,Australia",-36.7481306,144.2808764,"150 Arnold St, North Bendigo VIC 3550, Australia"
"64 Breen Street, QUARRY HILL, VIC 3550,Australia",-36.7688819,144.2755647,"64 Breen St, Quarry Hill VIC 3550, Australia"
"119 PROUSES ROAD, NORTH BENDIGO, VIC 3550,Australia",-36.7286359,144.2782098,"119 Prouses Rd, North Bendigo VIC 3550, Australia"
"137 Cornish Street, CASTLEMAINE, VIC 3450,Australia",-37.0548553,144.2119798,"137 Cornish St, Castlemaine VIC 3450, Australia"
"Shop 2, 36 Brooke Street, INGLEWOOD, VIC 3517,Australia",-36.5747169,143.8674414,"Shop 2/36 Brooke St, Inglewood VIC 3517, Australia"
"Heathcote Hospital, 39 Hospital Street, HEATHCOTE, VIC 3523,Australia",-36.9265035,144.7093934,"39 Hospital St, Heathcote VIC 3523, Australia"
"131 High Street, MARYBOROUGH, VIC 3465,Australia",-37.0464482,143.7377416,"131 High St, Maryborough VIC 3465, Australia"
"22 Victoria Street, TRENTHAM, VIC 3458,Australia",-37.3867231,144.3276046,"22 Victoria St, Trentham VIC 3458, Australia"
"25 Wilson Street, WEDDERBURN, VIC 3518,Australia",-36.4186909,143.6118137,"25 Wilson St, Wedderburn VIC 3518, Australia"
"117 Main Street, ROMSEY, VIC 3434,Australia",-37.3474485,144.7420403,"117 Main St, Romsey VIC 3434, Australia"
"28 Main Street, ROMSEY, VIC 3434,Australia",-37.356183,144.7441643,"28 Main St, Romsey VIC 3434, Australia"
"84 Hare Street, ECHUCA, VIC 3564,Australia",-36.132255,144.750993,"84 Hare St, Echuca VIC 3564, Australia"
"179-183 Annesley Street, ECHUCA, VIC 3564,Australia",-36.1266935,144.7510872,"179/183 Annesley St, Echuca VIC 3564, Australia"
"1-3 Martin Street, MOAMA, NSW 2731,Australia",-36.1080495,144.7612703,"1-3 Martin St, Moama NSW 2731, Australia"
"20 SYDNEY STREET, KILMORE, VIC 3764,Australia",-37.2936924,144.9516656,"20 Sydney St, Kilmore VIC 3764, Australia"
"21 Impey Street, MURCHISON, VIC 3610,Australia",-36.6183245,145.2142117,"21 Impey St, Murchison VIC 3610, Australia"
"105 Powlett Street, KILMORE, VIC 3764,Australia",-37.3061244,144.9499557,"105 Powlett St, Kilmore VIC 3764, Australia"
"5 Neal Street, GISBORNE, VIC 3437,Australia",-37.4863447,144.5839422,"5 Neal St, Gisborne VIC 3437, Australia"
"16 Brantome Street, GISBORNE, VIC 3437,Australia",-37.4848649,144.589706,"16 Brantome St, Gisborne VIC 3437, Australia"
"Priceline Pharmacy, Shop 1, 18 Brantome Street, GISBORNE, VIC 3437,Australia",-37.4850114,144.5896765,"Office 1/18 Brantome St, Gisborne VIC 3437, Australia"
"51 Brantome Street, GISBORNE, VIC 3437,Australia",-37.4888977,144.5895957,"51 Brantome St, Gisborne VIC 3437, Australia"
"2 Queen Street, AVENEL, VIC 3664,Australia",-36.8933799,145.2302148,"2 Queen St, Avenel VIC 3664, Australia"
"7 Station Street, RIDDELLS CREEK, VIC 3431,Australia",-37.4638645,144.6776702,"7 Station St, Riddells Creek VIC 3431, Australia"
"129 Inglis Street, BALLAN, VIC 3342,Australia",-37.6003909,144.2260699,"129 Inglis St, Ballan VIC 3342, Australia"
"1021 Howitt Street, WENDOUREE, VIC 3355,Australia",-37.5412847,143.8377165,"1021 Howitt Street, Wendouree VIC 3355, Australia"
"20 Rumbalara Road, MOOROOPNA, VIC 3629,Australia",-36.4047637,145.3533243,"20 Rumbalara Rd, Mooroopna VIC 3629, Australia"
"83 McLennan Street, MOOROOPNA, VIC 3629,Australia",-36.3949721,145.3592456,"83 McLennan St, Mooroopna VIC 3629, Australia"
"Shop 9, 61 Grote Street, ADELAIDE, SA 5000,Australia",-34.9295269,138.5965001,"Unit 9/61 Grote St, Adelaide SA 5000, Australia"
"Central Market Arcade, 57 Gouger Street, ADELAIDE, SA 5000,Australia",-34.9293598,138.598852,"21/39 Grote St, Adelaide SA 5000, Australia"
"Ground Floor, 52 Gawler Place, ADELAIDE, SA 5000,Australia",-34.9231182,138.6019623,"52 Gawler Pl, Adelaide SA 5000, Australia"
"LG 11, 79 - 91 Rundle Mall, ADELAIDE, SA 5000,Australia",-34.923216,138.60257,"91/79 Rundle Mall, Adelaide SA 5000, Australia"
"34, 141 - 159 Rundle Mall, ADELAIDE, SA 5000,Australia",-34.9230028,138.605256,"Hindmarsh Square, 141/159 Rundle Mall, Adelaide SA 5000, Australia"
"Adelaide Central Plaza, Shop 6, Lower Ground Level,, 100 Rundle Mall, ADELAIDE, SA 5000,Australia",-34.9215717,138.6033621,"100 Rundle Mall, Adelaide SA 5000, Australia"
