Vaccination_sites,Address,Latitude,Longitude
Kaliiro Health Centre  III,Uganda,-0.2642,31.1453
Kalimon Health Centre  II,Uganda,3.6149,33.8999
Kalisizo Hospital,"FJ7F+Q33, Masaka - Kakuto Rd, Kalisizo, Uganda",-0.535624,31.6226783
Kalongo Hospital,"Kalongo, Uganda",3.0472417,33.365447
Kambuga Hospital,"5RP2+F59, Kambuga, Uganda",-0.8138458,29.80049
Kambugu Health Centre  III,"RQ4Q+43Q, Uganda",0.8053336,31.7877411
Kameke Health Centre  III,Uganda,1.274,33.7909999
Kamonkoli Health Centre  III,"Kamonkoli, Uganda",1.083333,34.1
Kamuge Health Centre  III,Uganda,1.181,33.816
Kamuli General Hospital,"W4WC+WF7, Kamuli, Uganda",0.9472929,33.1211807
Kamuli Mission Hospital,"W4JH+PC3, Kamuli, Uganda",0.9317738,33.1285624
Kamwenge Health Centre  III,Uganda,0.1805,30.4509
Kamwezi Health Centre  IV,Uganda,-1.205,30.204
Kamwokya Christian Caring Centre,"Kamwokya, Kampala, Uganda",0.3456001,32.5853469
Kangalaba Health Centre  III,"Kangalaba, Uganda",0.9125926,34.0834775
Kanginima Hospital,"Kanginima, Uganda",1.2008937,33.9917222
Kangole Health Centre  III,"CFQQ+FGM, Unnamed Road, Morulinga, Uganda",2.4387121,34.4888001
Kangulumira Health Centre  IV,Uganda,0.583,33.043
Kanungu Health Centre  IV,"Kanungu, Uganda",-0.8897256,29.7831356
Kapchorwa Hospital,"P.O Box 2, Kapchorwa, Uganda",1.4025881,34.4424471
Kapedo Health Centre  III,Uganda,3.6901,33.9433999
Kapeeka Health Centre  III,"Kapeka, Uganda",0.67935,32.2455364
Kapelebyong Health Centre  IV,Uganda,2.2785,33.7746
Kapkoloswo Health Centre  III,"6QWG+WFV, Kapnandi, Uganda",1.2473582,34.776181
Kaproron Health Centre  IV,"CJC8+PMW, Kaburoron, Uganda",1.4218729,34.6166898
Karenga Health Centre  IV,"Karenga, Uganda",3.5690813,33.6930855
Kasaali Health Centre  III,Uganda,-0.616,31.562
Kasangati Health Centre  IV,Uganda,0.4381,32.5864
Kasese  Municipal Health Centre  III,"Kasese, Uganda",0.1698986,30.078078
Kashenshero Health Centre  III,"Kashenshero Trading Centre, 5KM from Mitoma Town Council, Mitoma District, Uganda",-0.6181406,30.018425
Kashongi Health Centre  III,"Kashongi, Uganda",-0.2849999,30.645
Kashumba Health Centre  III,Uganda,-0.8672,30.9598
Katakwi Hospital,"Katakwi, Uganda",1.9141618,33.9582783
Kateta Health Centre  III,Uganda,1.4158,33.4895
Kawaala Health Centre  III,"Kawaala, Kampala, Uganda",0.3417589,32.5514155
Kawempe NRH,"Kawempe, Kampala, Uganda",0.3801717,32.5570534
Kawolo Hospital,"9W9W+53V, Kampala-Jinja Road, Lugazi, Uganda",0.3679815,32.9451668
Kayunga Hospital,"P.O Box 18069, Kayunga, Uganda",0.7030946,32.9024954
Kazinga Health Centre  III,Uganda,0.2667,30.8333
Kazo Health Centre  IV,Uganda,0.049,30.757
Kebisoni Health Centre  IV,Uganda,-0.9211,30.0367
Kerekerene Health Centre III,"Kakoro, Uganda",1.1436,34.0377
Kibaale Health Centre  IV,"Kibaale, Uganda",0.7682547,31.0776593
Kibalinga  Health Centre  III,Uganda,0.49,31.271
Kiboga Hospital,"WQ6G+JGG, Kampala-Hoima, Kiboga, Uganda",0.9114134,31.776887
Kibuku Health Centre  IV,"2RW2+W2G, Kibuku, Uganda",1.0473121,33.8000822
Kibuli Hosp,"Off Prince Badru Kakungulu Road/P.O.Box 24548 Prince Badru Kakungulu Rd, Kampala, Uganda",0.3094773,32.5954181
Kidera Health Centre  IV,Uganda,1.326,33.002
Kidongole Health Centre  III,Uganda,1.2638,33.9792
Kifampa Health Centre  III,Uganda,0.137,31.754
KIGANDALO Health Centre  IV,"Kigandalo, Uganda",0.4142974,33.6063855
Kigarama Health Centre  III,"P42H+FPQ, Kigarama, Uganda",-1.2987872,30.1293502
Kigorobya Health Centre  IV,"Kigorobya, Uganda",1.6233,31.3119
Kigumba Health Centre  III,Uganda,1.8876,31.9119
Kihihi Health Centre  IV,"7M2W+PV6, Kihihi, Uganda",-0.7482155,29.69715
Kijomoro Health Centre  III,"5W96+3J9, Alivu, Uganda",3.1676639,30.9115972
Kijunjubwa,"Kijunjubwa, Uganda",1.4833333,31.7666664
Kijura Health Center III,"Kijura, Uganda",0.816667,30.416667
Kikamulo Health Centre  III,Uganda,0.8333,32.3667
Kikandwa Health Centre  III,"J4M7+H34, Kampala-Hoima, Kikandwa, Uganda",0.6338879,32.1127144
Kikuube Health Centre  IV,"Kikube, Uganda",1.341,31.2217
Kikyo Health Centre  IV,Uganda,0.739,30.139
Kimuli Health Centre  III,Uganda,-0.599,31.304
Kinuuka Health Centre  III,Uganda,-0.265,31.115
Kinyogoga Health Centre  III,Uganda,1.2004,32.2414
Kiruhura Health Centre  IV,"Kiruhura, Uganda",-0.196398,30.84425
Kiryandongo Hospital,"V3H6+JQM, Kikube, Uganda",1.8790889,32.0619232
Kiryanga Health Center III,"Kiryanga, Uganda",1.0841603,31.0657575
Kisaasi Church of Uganda MC,"Kisaasi, Kampala, Uganda",0.3614407,32.5966549
Kisenyi Health Centre  IV,"8H59+2PJ, Mwanga II Rd, Kampala, Uganda",0.3075842,32.5692662
Kisiizi Hospital,"Republic road, Rukungiri, Uganda",-0.7911577,29.9248996
Kisomoro Health Centre  III,Uganda,0.535,30.139
Kisoro Hospital,"Kisoro, Uganda",-1.2834307,29.6904746
Kisugu Health Centre  III,"Park Rise Rd, Kampala, Uganda",0.3067583,32.6116142
Kiswa Health Centre  III,"Opposite shell Bugolobi Kataza Cl, Kampala, Uganda",0.3210524,32.6174945
Kitebi Health Centre  III,"7GJW+C5R, Kampala, Uganda",0.2811175,32.5453971
Kitenga  Health Centre  III,Uganda,0.52,31.499
Kitgum General Hospital,"Kitgum, Uganda",3.2884847,32.8789499
Kitwe Health Centre  IV,Uganda,-0.914,30.467
KITYERERA Health Centre  IV,"Kityerera, Uganda",0.3113889,33.4919434
Kiyumba Health Centre IV,Uganda,-0.325,31.801
Kobulubulu H/CIII,"Kobulubulu, Uganda",1.6812315,33.1463992
Kobwin Health Centre  III,Uganda,1.4,33.75
Koch Goma Health Centre  III,"Koch-Goma, Uganda",2.5749874,32.0610174
Kotido Health Centre  IV,"2488+5H9, Kotido, Uganda",3.0154106,34.11647
Kucwiny Health Centre  III,"Kucwiny, Uganda",2.5293324,31.2397438
Kuluva Hospital,"WWWM+84C, Kuluva, Uganda",2.9458156,30.9327615
Kumi Health Centre  IV,Uganda,1.527,33.988
Kwera Health Centre  III,Uganda,1.854,33.037
Kyabugimbi Health Centre  IV,Uganda,-0.507,30.251
Kyamuhunga Health Centre  III,Uganda,-0.4514,30.1133
Kyamuliibwa Health Centre  III,"Kyamulibwa, Uganda",-0.0805635,31.7533025
Kyamuswa Health Centre  III,"Kyamuswa, Uganda",-0.4166665,32.5166664
Kyangwali Health Centre  III,Uganda,1.284,30.848
Kyankwanzi Health Centre  III,Uganda,1.2021,31.7844
Kyazanga,"Kyazanga, Uganda",-0.3856315,31.321279
Kyebando Health Centre  III,Uganda,0.938,31.073
Kyebe Health Centre  III,Uganda,-0.89,31.7597
Kyegegwa Health Centre  IV,Uganda,0.527,31.048
Kyeizooba Health Centre  III,"Kyeizooba, Uganda",-0.5932068,30.2628111
Lalogi Health Centre IV,Uganda,2.6325502,32.5672721
Lapainat Health Centre III,Uganda,2.8288,32.3245999
Lefori Health Centre  III,"Lefori, Uganda",3.6265002,31.5598345
Lemusui Health Centre  III,Uganda,1.668,34.738
Lira Regional referral Hospital,"7W33+QV, Plot 9/19, 21-41 Ngetta Road Police Rd, Lira P.O.BOX 2, LIRA, Uganda",2.2517139,32.9018519
Lira University Health Centre  III,"7R2C+9CV, Lira, Uganda",2.2509766,32.8210473
Lobalangit Health Centre  III,"FMGR+FPP, Lobalangit, Uganda",3.476214,33.6918232
Logiri Health Centre III,"Old Paidha, Road, Uganda",2.7325383,30.8525651
Lokitelaebu Health Centre  III,"Lokitelaebu, Uganda",2.9916,33.9957
Lokolia Health Centre  III,Uganda,3.5939,34.1407
Lokopo Health Centre  III,"Matany, Uganda",2.4403,34.3975
Lokung Health Centre III,"HPR4+RVV, Lokung, Uganda",3.5921194,32.7071699
Loputuk Health Centre  III,Uganda,2.4955,34.6683
Lorengechora Health Centre  III,"Iriri, Uganda",2.2222,34.2543999
Ludara Health Centre  III,"Ludara, Uganda",3.5191,31.0021
Luru Health Centre  III (NFP),"CHPM+28R, Uganda",3.4351143,31.5832777
Luwero Hospital,"Luweero, Uganda",0.8404086,32.497668
Lwamaggwa Health Centre  III,"Lwamaggwa, Uganda",-0.5628845,31.2397438
Lwamata Health Centre  III,Uganda,0.835,31.895
Lwanda Health Centre  III,Uganda,-0.6919999,31.439
Lwanjusi,"R6H9+P62, Sinya, Uganda",0.829274,34.2180158
Lwebitakuri Health Centre  III,Uganda,-0.2899,31.3517
Lwemiyanga Health Centre  III,"Lwemiyaga, Uganda",0.0829521,31.0979963
Lwengo,"Lwengo, Uganda",-0.3907668,31.4613063
Lyantonde hospital,"Lyantonde, Uganda",-0.4075041,31.1567203
Maanyi Health Centre  III,Uganda,0.2733,31.9558
Mabaale Health Center III,"Mbale, Uganda",1.0784436,34.1810057
Madudu  Health Centre  III,Uganda,0.6502,31.5087
Magada Health Centre  III,Uganda,0.888,33.72
Magale Health Centre  IV,Uganda,0.869,34.348
Magoro Health Centre  III,Uganda,1.7337,34.1013
Mahyoro Health Centre  III,Uganda,-0.0575,30.2596
MAKUUTU Health Centre  III,"Makuutu, Uganda",0.4931884,33.5839983
Maracha Health Centre  IV,"Maracha, Uganda",3.2873127,30.9403023
Masafu Hospital,"Hospital, Masafu, Uganda",0.4129777,34.0350664
